profile,perturbation,metric,variant,directions,mean_percent,delta_pp
structured,isolated_pitch,pitch_directed,cel8_116,↖ ↑ ↓ →,97.96980398049823,0.7862903225806461
structured,isolated_pitch,pitch_directed,cel8_116_lw,↖ ↑ ↓ → + LW,99.70196353436185,2.518449876444262
structured,isolated_pitch,pitch_directed,cel8_117,↗ ↖ ↑ ↓ →,97.2641588192079,0.0806451612903214
structured,isolated_pitch,pitch_directed,cel8_117_lw,↗ ↖ ↑ ↓ → + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_118,↘ ↖ ↑ ↓ →,98.14837540906966,0.9648617511520741
structured,isolated_pitch,pitch_directed,cel8_118_lw,↘ ↖ ↑ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_119,↗ ↘ ↖ ↑ ↓ →,97.53201596206505,0.3485023041474661
structured,isolated_pitch,pitch_directed,cel8_119_lw,↗ ↘ ↖ ↑ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_120,↙ ↑ ↓ →,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_120_lw,↙ ↑ ↓ → + LW,99.73001402524545,2.546500367327853
structured,isolated_pitch,pitch_directed,cel8_121,↗ ↙ ↑ ↓ →,98.14837540906966,0.9648617511520741
structured,isolated_pitch,pitch_directed,cel8_121_lw,↗ ↙ ↑ ↓ → + LW,99.62131837307153,2.4378047151539377
structured,isolated_pitch,pitch_directed,cel8_122,↘ ↙ ↑ ↓ →,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_122_lw,↘ ↙ ↑ ↓ → + LW,99.73001402524545,2.546500367327853
structured,isolated_pitch,pitch_directed,cel8_123,↗ ↘ ↙ ↑ ↓ →,98.3183062846457,1.134792626728115
structured,isolated_pitch,pitch_directed,cel8_123_lw,↗ ↘ ↙ ↑ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_124,↖ ↙ ↑ ↓ →,97.96980398049823,0.7862903225806461
structured,isolated_pitch,pitch_directed,cel8_124_lw,↖ ↙ ↑ ↓ → + LW,99.54067321178121,2.357159553863614
